County,Date,Excess
Albany,1/1/2020,3.072732253
Albany,2/1/2020,5.436643923
Albany,3/1/2020,7.743715169
Albany,4/1/2020,17.06025532
Albany,5/1/2020,18.36411609
Albany,6/1/2020,16.7032881
Albany,7/1/2020,19.1408877
Albany,8/1/2020,23.52733981
Albany,9/1/2020,29.92134984
Albany,10/1/2020,34.32281668
Big Horn,1/1/2020,0.112877303
Big Horn,2/1/2020,-3.022971016
Big Horn,3/1/2020,-3.204939084
Big Horn,4/1/2020,-1.265355697
Big Horn,5/1/2020,-6.407445281
Big Horn,6/1/2020,-7.617369239
Big Horn,7/1/2020,-2.73548162
Big Horn,8/1/2020,-6.977884668
Big Horn,9/1/2020,-9.2640143
Big Horn,10/1/2020,-6.905902599
Campbell,1/1/2020,19.95333326
Campbell,2/1/2020,33.18473474
Campbell,3/1/2020,41.17562089
Campbell,4/1/2020,53.75877328
Campbell,5/1/2020,62.8851825
Campbell,6/1/2020,81.07912603
Campbell,7/1/2020,97.55125995
Campbell,8/1/2020,108.7216931
Campbell,9/1/2020,118.916193
Campbell,10/1/2020,140.4959278
Carbon,1/1/2020,-9.413539745
Carbon,2/1/2020,-20.70329849
Carbon,3/1/2020,-19.922465
Carbon,4/1/2020,-28.77964255
Carbon,5/1/2020,-42.76275775
Carbon,6/1/2020,-49.04040259
Carbon,7/1/2020,-58.28257707
Carbon,8/1/2020,-70.51246217
Carbon,9/1/2020,-78.7199416
Carbon,10/1/2020,-91.04812108
Converse,1/1/2020,-1.59859382
Converse,2/1/2020,-8.037011316
Converse,3/1/2020,-7.867483705
Converse,4/1/2020,-4.20423014
Converse,5/1/2020,-6.033850715
Converse,6/1/2020,-3.632269626
Converse,7/1/2020,2.840131531
Converse,8/1/2020,6.072515074
Converse,9/1/2020,6.826541142
Converse,10/1/2020,10.49400703
Crook,1/1/2020,1.012437895
Crook,2/1/2020,0.028250683
Crook,3/1/2020,-0.979519254
Crook,4/1/2020,0.083498075
Crook,5/1/2020,4.098964337
Crook,6/1/2020,2.161766213
Crook,7/1/2020,5.17723394
Crook,8/1/2020,14.48032372
Crook,9/1/2020,16.53122032
Crook,10/1/2020,23.59368272
Fremont,1/1/2020,3.672775867
Fremont,2/1/2020,5.410918886
Fremont,3/1/2020,10.31227278
Fremont,4/1/2020,11.14565967
Fremont,5/1/2020,18.81470364
Fremont,6/1/2020,12.62375702
Fremont,7/1/2020,14.36942408
Fremont,8/1/2020,26.54220854
Fremont,9/1/2020,28.24214033
Fremont,10/1/2020,33.96760542
Goshen,1/1/2020,3.85266394
Goshen,2/1/2020,8.969340852
Goshen,3/1/2020,9.755297147
Goshen,4/1/2020,11.3576783
Goshen,5/1/2020,10.08886611
Goshen,6/1/2020,11.37719843
Goshen,7/1/2020,13.21593536
Goshen,8/1/2020,15.52564647
Goshen,9/1/2020,14.54802237
Goshen,10/1/2020,22.87618798
Hot Springs,1/1/2020,4.992955591
Hot Springs,2/1/2020,5.620374749
Hot Springs,3/1/2020,2.886695094
Hot Springs,4/1/2020,0.736817204
Hot Springs,5/1/2020,1.440580587
Hot Springs,6/1/2020,4.327051187
Hot Springs,7/1/2020,4.861755247
Hot Springs,8/1/2020,5.746427101
Hot Springs,9/1/2020,5.266360489
Hot Springs,10/1/2020,5.321762383
Johnson,1/1/2020,3.83986923
