"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95","Point.Forecast.1","Lo.80.1","Hi.80.1","Lo.95.1","Hi.95.1","Point.Forecast.2","Lo.80.2","Hi.80.2","Lo.95.2","Hi.95.2","Point.Forecast.3","Lo.80.3","Hi.80.3","Lo.95.3","Hi.95.3","Point.Forecast.4","Lo.80.4","Hi.80.4","Lo.95.4","Hi.95.4","Point.Forecast.5","Lo.80.5","Hi.80.5","Lo.95.5","Hi.95.5","Point.Forecast.6","Lo.80.6","Hi.80.6","Lo.95.6","Hi.95.6","Point.Forecast.7","Lo.80.7","Hi.80.7","Lo.95.7","Hi.95.7","Point.Forecast.8","Lo.80.8","Hi.80.8","Lo.95.8","Hi.95.8","Point.Forecast.9","Lo.80.9","Hi.80.9","Lo.95.9","Hi.95.9","Point.Forecast.10","Lo.80.10","Hi.80.10","Lo.95.10","Hi.95.10","Point.Forecast.11","Lo.80.11","Hi.80.11","Lo.95.11","Hi.95.11","Point.Forecast.12","Lo.80.12","Hi.80.12","Lo.95.12","Hi.95.12","Point.Forecast.13","Lo.80.13","Hi.80.13","Lo.95.13","Hi.95.13","Point.Forecast.14","Lo.80.14","Hi.80.14","Lo.95.14","Hi.95.14","Point.Forecast.15","Lo.80.15","Hi.80.15","Lo.95.15","Hi.95.15","Point.Forecast.16","Lo.80.16","Hi.80.16","Lo.95.16","Hi.95.16","Point.Forecast.17","Lo.80.17","Hi.80.17","Lo.95.17","Hi.95.17","Point.Forecast.18","Lo.80.18","Hi.80.18","Lo.95.18","Hi.95.18","Point.Forecast.19","Lo.80.19","Hi.80.19","Lo.95.19","Hi.95.19","Point.Forecast.20","Lo.80.20","Hi.80.20","Lo.95.20","Hi.95.20","Point.Forecast.21","Lo.80.21","Hi.80.21","Lo.95.21","Hi.95.21","Point.Forecast.22","Lo.80.22","Hi.80.22","Lo.95.22","Hi.95.22"
"Jan 6",15.927267747274,9.99361293139834,21.6004826529136,7.1141984161656,23.7517144415197,9.88712269739029,5.21230220790066,14.6244818061719,3.64885330240075,16.7097575467527,10.0466667404563,5.69086439919959,15.2905206880667,3.90200837073012,17.5276762891212,20.4135397446,13.0621022419086,28.5911617630553,9.48645182419567,32.079433280734,7.59859381966916,4.24130810048251,10.9335281112167,2.47172534087148,12.696533670991,3.98756210524483,1.23485495094924,6.91975782528596,-0.261504885202404,8.41797522225942,28.327224133327,20.974668402928,36.2724407229946,17.167592504601,39.9016227817978,9.14733605957173,5.24080912576103,13.0932784672699,3.16238603913445,15.1717015538965,5.00704440862709,1.75235434836724,8.42433825277855,0.166086989955691,10.0515612729744,7.16013077046139,3.54212916632524,11.057491268398,1.55293297618703,13.0466874585363,74.4967710594244,60.9034933563675,90.394199792493,53.1251254829403,98.069234592838,10.4241873478941,4.88853433527528,17.2803477409465,2.46501747265051,20.3070250627295,73.4411612778901,58.0869799681554,85.4397598856445,50.8471364499633,92.6796034038367,2.13345052380681,0.200994953872092,4.0783818222753,-0.771469634971328,5.02638996161152,20.2659299420273,14.9515692171787,26.4695872058384,13.0383099722174,29.2500805486704,5.89377324013928,2.48048909053394,9.58785642823715,0.599282591359048,11.469062927412,25.3050034765542,18.4638202149768,32.6469253334725,14.9876770007041,36.3428056073654,3.71791168951441,1.148125896744,6.68448553243291,-0.317259981537221,8.14987141071413,21.481266276506,14.6752487809798,28.0893801048553,11.1247426894493,31.6398861963858,8.51211871267176,4.18303612642904,13.5390360581245,2.16162279664582,15.5915109976428,9.36817755396497,4.76073289965043,14.1220418148169,3.15408132956156,16.295162911054,6.76636365552173,2.30461632200069,9.11082445030282,0.503121850513788,10.9123189217897,4.35280666798398,1.68708714173572,6.3664687755652,0.489076222187969,7.53199331312374
"Feb 6",15.6360883299652,9.99361290417253,20.8722999535127,7.11419837452731,23.751714483158,10.1358483183176,5.26463690217237,14.6765311608414,3.71064371207543,16.7618069431639,9.76859852191834,5.55687204712418,15.4043200159483,4.00932839343351,17.7017173422551,19.2897587493307,11.2665831222235,28.5186111689343,7.64767263048816,32.0107967219579,7.4384174967995,3.94238580630035,10.9269509281147,2.22061797250654,12.6965336965845,3.9841872122083,1.23077517172942,6.92794434866274,-0.267744369083268,8.43049542933377,27.2618569804761,20.6370346458995,35.3581435671412,16.8484604120612,39.1652194845222,9.88332308865613,5.24080910612292,14.4227074671093,3.16238600910055,16.1921153419472,5.37258084190644,2.27654332494332,8.71337103873954,0.649320296604007,10.2996383971511,6.78457592852204,2.50090825888699,11.0574912871869,1.00786661280868,13.0466874872714,75.6449044028169,60.1302338064316,98.0732546916767,52.9409836723604,106.620908170634,9.9956535390096,4.88853433527528,17.4584684893462,2.46501747265051,20.5167572148085,69.6940560660379,55.2955760675347,85.4397599541166,48.2275943008285,92.6796035085557,1.41872963977247,-0.645603100560427,3.87505363702901,-1.50345670664608,4.84751823073668,22.4820852917143,15.9646332703382,28.6938001511625,12.3861226006646,31.134757714492,6.02725668851521,2.48048907276319,10.7441901527183,0.599282564181045,13.4144811044718,25.379966796516,18.6835572380544,32.6469253700151,14.9876769448171,36.3428056632524,3.95718752627735,1.14812588289206,6.68448554628485,-0.317260002721937,8.14987143189885,21.5317520521723,14.6752487454353,28.0893801403997,11.1247426350888,31.6398862507463,8.59707820347015,4.09279235155161,13.5867218183187,2.02342395865433,15.66444007445,10.0071684256842,5.84124492599634,14.1220418374475,3.58549521461515,16.2951629456644,5.50501220712154,2.30461630497393,9.11082446732959,0.5031218244736,10.9123189478299,3.50856892851412,1.63677452640214,6.21328014864473,0.440683198371187,7.41129107418955
"Mar 6",15.6929287542413,9.99361287694671,21.2237378113809,7.11419833288902,24.6203952178085,10.1819680682725,5.88138149467688,14.7285806140449,4.03473490837053,16.8138564902698,10.0091138450575,5.89313213169609,15.5152106257902,4.14465803793397,17.8713098950302,19.2191665038839,10.2976352804027,28.4681098022501,6.99291345795554,31.9674883524176,7.83047238811457,4.2413080670131,11.4196766951452,2.47172528968443,13.141444528939,4.00776993662266,1.22670126393573,7.00463645121302,-0.273974873392771,8.57304472513097,31.0986461068513,20.9746683309403,38.0267626457177,17.1675923945053,39.2658279754064,9.21404370436753,5.24080908648481,13.4818025206565,3.16238597906665,15.5841992788351,5.73367965547691,2.27654330955995,9.48820395062037,0.649320273077179,11.0744713090319,7.26656868818557,3.54212912874748,11.0574913059758,1.5529329187168,13.0466875160065,87.2351391460172,60.7195307355531,116.520919423743,52.8437789331864,122.65829700473,10.1500451633022,4.88853433527528,17.6380326927645,2.46501747265051,20.7286969408359,82.1320129515021,58.0869798312113,103.78393112766,50.8471362405253,109.999195207428,2.14254750453297,0.200994935494508,4.09773302478651,-0.771469663077417,5.04574116412273,24.9399078857145,15.9646332440518,29.882237466238,13.1841398733894,34.1326668170305,6.46818426263851,2.48048905499245,9.87993441932262,0.599282537003041,12.1455450189655,26.2425186433576,18.6835572015119,34.1659868150102,14.9876768889301,37.8346293693834,4.40049671690826,1.14812586904012,6.6844855601368,-0.317260023906653,8.14987145308357,21.9683731424209,14.6752487098909,29.0162651742437,11.1247425807282,31.9185653433047,8.55113071200481,4.08857162909516,13.6338351317817,2.01692884642119,15.7364936695315,9.37422383874686,4.71301972189336,14.122041860078,2.96150580345212,16.2951629802749,5.65427170838541,2.30461628794716,9.25167699555134,0.503121798433411,11.0181295746925,3.44936001681924,1.68708711907828,6.22063582882615,0.489076187536403,7.41832962789508
"Apr 6",15.6834598473842,9.9936128497209,21.2450086372854,7.11419829125072,24.1306846913749,10.0604166128979,5.54903033956935,14.7806302051878,3.280413021833,16.8659062483358,10.4168476088951,6.50546154568625,15.6234047740308,4.09208775406056,18.0367785656565,18.8571775514227,13.0621022419086,28.4366004993657,9.48645182419567,31.9464972399305,7.33674643518198,3.69931151433608,10.9269509615841,1.97754368054227,12.6965337477716,3.93698267131932,1.07466705207298,6.9442469656768,-0.321904380193307,8.455428130491,27.1666131048943,20.9488208720699,35.3581436391289,17.1450125098238,39.1652195946179,7.39761884907072,0.885020188577104,13.0932785261842,-0.749590103711007,15.1717016439982,5.14987789019753,2.19626928591352,8.42433829892865,0.636581990679618,10.0515613435549,7.47240743053074,3.54212910995859,11.0574913247647,1.55293288998168,13.0466875447416,74.5341303801009,60.6283586193346,90.5660014564437,52.7043432140261,98.4900168617522,10.2076587640933,4.86603387192238,17.8195963388733,1.93440064834832,28.4993043169512,66.8463603270441,51.0153408124976,85.4397600910608,44.139676668541,92.6796037179937,1.44612885583468,-0.769713068576781,3.87505365540659,-1.53902312497778,4.84751825884277,20.6805186237094,15.9646332177654,28.5011890882671,13.1841398331879,33.6610698479543,5.83042070493391,1.88945509496968,9.58785648154938,-0.0840585789086079,11.4690630089461,25.395807273483,18.6835571649694,32.6469254431001,14.8385007888686,36.3428057750263,3.47344242828342,1.14812585518818,6.68448557398874,-0.317260045091369,8.14987147426828,21.7518406568685,14.6752486743464,28.5320921866528,11.1247425263677,31.6398863594674,8.48237289592501,4.08838206417756,13.6803961324511,2.01663015116198,15.8077025750876,10.5405465332035,5.91179480856762,14.9848406154698,3.73867367639088,16.5026039080921,4.97185947266651,1.66592867473252,9.11082450138312,-0.10052390440869,10.9123189999103,4.31068032253054,1.68121250926081,6.21328017130217,0.483433615908612,7.41129110884112
"May 6",15.6961392286423,9.99361282249508,21.7083166206454,7.11419824961243,24.4425140888587,10.1420895837099,5.37787803297301,14.8326799736753,3.59100839792942,16.917956277627,9.87359078251448,6.08571577681784,15.7290900932688,3.93045600628687,18.1984103134302,20.983115197367,11.0519037199846,28.4211253513419,8.03684977431166,31.9446341150955,7.82962057562305,4.24130803354369,11.4196766951452,2.47172523849738,13.141444528939,3.98453373769143,1.21857096169991,6.95236346038536,-0.288725653355002,8.46784123795948,28.3309560300425,20.9746682589526,35.3638132092663,17.1675922844096,39.1677339933441,9.2688121837218,5.24080904720858,13.6176628790786,3.16238591899884,15.501406326396,5.2962366167098,2.21736979720457,8.49008386050876,0.649320226023526,10.0763512189203,7.17815944632303,3.54212909116971,11.0574913435536,1.55293286124657,13.0466875734767,78.7118732328722,57.5051832939601,106.420481159613,50.3159331598889,115.104314442674,10.2866315080512,4.88853433527528,18.0037022675196,2.46501747265051,37.4184140981485,81.8265192724238,58.0869796942671,104.595522836772,50.8471360310873,111.637641797796,2.13982214955988,0.200994917116925,4.08955696342583,-0.771469691183505,5.03756510276206,20.978586952216,15.9646331914791,26.4695873109839,11.8946524526623,29.2500807094766,5.75911492619749,2.48048901945097,10.4352746362846,0.599282482647035,12.1107849308305,25.4273570269238,18.6835571284268,32.6469254796427,14.9876767771562,36.3428058309133,3.60360798930437,1.14812584133624,6.68448558784068,-0.317260066276085,8.149871495453,22.0315313871756,14.675248638802,28.871135385163,11.1247424720071,31.9629485490101,8.32130853653068,4.0883758015624,13.726423800987,2.016618649358,15.878095819533,9.39240162035782,4.55182574101308,14.1220419053391,2.53326063472316,16.2951630494958,6.72976585373729,2.30461625389363,9.55565419996632,0.503121746353034,11.3221067791075,3.55893563436691,1.68449295108303,6.21328018263089,0.486709536044907,7.4112911261669
"Jun 6",15.6608279936885,9.99361279526926,21.7624150394382,7.11419820797414,24.85706742931,10.209923958454,5.40373324294978,14.8847299589128,3.47970698013123,16.9700066384087,9.80605647244036,5.09072091940529,15.8324334151014,2.92698828897566,18.3564602852615,20.2776448480727,12.3000537582585,28.4189845112914,9.36970141519728,31.9588397206684,7.59841891083183,4.24130801680898,10.9335281112167,2.47172521290386,12.6965337989586,3.9371981240633,1.21451451724469,6.96045700854718,-0.301103667108636,8.48021925171312,29.1909466232977,20.9746682229587,36.6996830569406,17.1675922293617,39.2080664838399,8.71166768077804,5.06251620123074,13.0932785654605,3.16238588896494,15.171701704066,5.11352939971432,1.75235434836724,8.42433832969538,0.166086989955691,10.0515613906085,7.29863832688849,3.53760614706191,11.0574913623425,1.55293283251145,13.0466876022118,82.9124776281833,57.9824652053186,115.267260294514,50.7932150712473,122.446072946146,10.4297056747786,4.88853433527528,18.1908790171247,2.46501747265051,36.7580485711781,67.1870138835084,41.8740188859212,85.4397602280049,22.1530106894199,92.6796039274317,1.71228136273897,-0.0249980255467384,3.87505367378418,-0.973006164882961,4.84751828694886,18.5887316353735,15.4839857833168,26.9652384878113,11.9083945901365,29.7773560091411,6.33986668350737,0.801334967972077,9.72325968460874,-2.98392578809699,11.7127889287512,26.6816809480152,18.6835570918843,35.3599060028713,14.9876767212692,38.8428213897474,3.65619446169774,1.1481258274843,6.68448560169262,-0.3172600874608,8.14987151663771,22.0295363656051,14.6752486032576,28.8944073063178,11.1247424176466,31.6700826690573,8.35310951172852,4.08837612275586,13.7719360551898,2.01661871901902,15.9477008057785,10.5716626138488,5.91179476330652,15.1443860020428,3.73867360717,16.8975306376954,4.79157933909883,1.36195147031753,9.11082453543665,-0.40450110882368,10.9123190519907,3.59464221212771,1.68373432155441,6.21328019395962,0.4859506662373,7.41129114349268
"Jul 6",16.5624004014039,9.99361276804345,20.8723000896418,7.11419816633585,23.7517146913494,10.1181123809264,5.44021365202524,14.9367802003054,3.48442633471246,17.0220573909459,9.52786607691744,4.34341134611013,15.9335838621454,2.17967871568051,18.5111565445119,20.2421744738528,13.0621022419086,28.4278023383585,9.48645182419567,31.9863384591847,7.52759884262374,4.18546009826461,10.9269510117882,2.4636922644708,12.6965338245522,3.98453227266625,1.21046384418582,6.96852780368874,-0.313446883120651,8.49256246772513,29.2543329428841,20.9746681869649,35.3581437471105,17.1675921743139,39.1652197597615,9.1612630691263,5.24080900793235,13.0932785850986,3.16238585893104,15.1717017340999,5.4652959403378,2.27654324802649,9.13006733456255,0.649320178969872,10.7163346929741,6.78092399615669,2.26516636196217,11.0574913811313,0.272908744782665,13.0466876309469,73.5716164087576,58.2211061609978,90.8363971314086,51.0318560269265,98.9035513606791,10.2256038454827,4.88853433527528,18.3816393804534,2.46501747265051,39.0618767113955,77.4932021978085,58.0869795573229,97.7294343401937,50.8471358216493,108.753965572654,1.9802915060699,0.0086520016463314,3.87505368297297,-0.939356137689891,4.8475183010019,21.7402750526177,15.9646331389063,28.5300946220427,13.1841397125833,30.7079354939135,6.30720142389223,-1.83612408583733,9.60878563139422,-4.21838193666345,11.5474586106535,25.4361722840552,18.3690874689648,32.6469255527277,14.9876766653822,36.3428059426873,4.6643800395357,1.14812581363235,6.68448561554456,-0.317260108645516,8.14987153782243,21.1649057406525,14.6752485677131,28.089380318122,11.1247423632861,31.639886522549,8.2541812812383,4.08837627443306,13.8169498315036,2.01661885862018,16.0165434358805,9.3690003900501,4.63563275118823,14.1220419506002,2.77027531186593,16.2951631187166,5.81974708935275,2.30461621984011,9.25167699555134,0.503121694272656,11.0181295746925,4.36489844932502,1.68390907188658,6.21328020528833,0.486125403801205,7.41129116081846
"Aug 6",15.6135478886788,9.99361274081763,20.8723001168676,7.11419812469756,23.7517147329877,10.2424030475704,5.74259949665574,14.9888307372584,3.77175355152966,17.0741085955036,9.82956680927422,5.15361576960215,16.0326753730728,2.98988313917252,18.6627039327037,20.2298851033862,13.0621022419086,28.4455398412801,9.48645182419567,32.0246995028719,7.76761645669129,4.24130798333957,11.176602403181,2.47172516171681,12.8983702369748,5.6969102227206,1.20253954797303,9.2677526775582,-0.325755593227221,11.9122307415467,25.8272155370699,19.8460752568134,35.3581437831044,17.167592119266,39.1652198148094,8.69028889012454,5.24080898829424,13.0932786047367,3.16238582889714,15.1717017641338,5.11532814623724,2.17250135722675,8.42433836046211,0.586233998815203,10.0515614376622,6.77370148656968,2.47783717849264,11.0574913999202,0.844581135986863,13.0466876596821,71.3355640026918,52.4937232246962,98.0266211069739,45.304473090625,109.667300132882,10.5116327181613,4.88853433527528,25.2793205363704,2.46501747265051,38.2282329793923,70.3269631091793,52.3928833197657,85.4397603649491,37.0310217339191,92.6796041368697,1.72371389570481,-0.0976883029918652,3.87505369216176,-0.983251539776094,4.84751831505495,21.0657157666849,15.6282412893198,26.469587389843,11.3549711596713,29.2500808300812,4.51363873184912,2.07522278477762,9.58785655263234,0.00422339792823575,11.4690631176581,25.4277328622279,18.6835570187992,32.6469255892703,14.9876766094952,36.3428059985743,3.64033977685996,1.14812579978041,6.6844856293965,-0.317260129830232,8.14987155900715,22.2162947496016,14.6752485321686,28.545405876149,11.1247423089255,31.7515564721755,8.44503322623321,4.08837631157049,13.8614811586557,2.01661889517784,16.0846482236614,10.5407186669422,5.91179471804542,14.8584098044188,3.73867353794912,16.7422342290386,6.59584493212797,2.30461620281334,9.55565419996632,0.50312166823247,11.3221067791075,3.78511337419664,1.68386878164301,6.21328021661706,0.486085112879134,7.41129117814425
"Sep 6",15.6059899712168,9.99361271359182,20.8723001440935,7.11419808305926,23.751714774626,10.2861296327631,5.82042671647633,15.0408816091766,4.03801871357382,17.1261603123466,9.80550013438267,5.08331224635183,16.1298287827836,2.91957961592221,18.8112872508689,19.2074794314606,11.6437642990006,28.4704777675612,8.1724893821551,32.0718446644796,7.2459739327461,3.45623722237182,10.9269510452576,1.73446938857801,12.6965338757392,3.94910339620929,1.14643930112293,6.98460189554431,-0.338030085207976,8.51714566981246,29.3000682145843,20.9746681149772,35.3647319256902,17.1675920642182,39.1652198698572,8.97762410726545,5.24080896865613,13.0932786243748,3.16238579886324,15.1717017941677,5.48006661139721,2.27654321725976,8.9816319537861,0.649320131916218,10.5678993121977,6.75749073296569,2.47240703714355,11.0574914187091,1.17021203807177,13.0466876884172,87.3681122260533,60.1802085613558,119.032750981682,52.0189568457182,123.882126236282,11.1382005590461,4.88853433527528,31.1724331887815,2.46501747265051,38.7463346557796,72.3565127371994,58.0869794203788,90.7463042942015,50.8471356122113,98.2371079924754,2.06587489231037,0.200994880361759,3.87505370135055,-0.771469747395681,4.84751832910799,21.3168060245815,15.9646330863335,26.4695874161294,13.1841396321802,29.2500808702828,5.39633135140286,1.51584662811882,9.58785657040308,-0.552953527558841,11.4690631448361,25.4276573304568,18.6835569822567,32.6469256258128,14.9876765536082,36.3428060544613,3.75028995705233,1.14812578592847,6.68448564324844,-0.317260151014948,8.14987158019186,21.7403099182944,14.6752484966242,28.1063351908709,11.124742254565,31.6398866312701,8.20542616787108,4.08837631989512,13.9055452243395,2.01661890347464,16.1520383966944,9.63522877124953,5.66645747851315,14.1220419958613,3.73867350333868,16.2951631879375,5.24137290905237,2.2738830835625,9.11082458651694,0.503121642192281,10.9123191301112,3.54039147694016,1.68387806897606,6.21328022794578,0.486094400176127,7.41129119547003
"Oct 6",15.5985331620357,9.993612686366,20.8723001713193,7.11419804142097,23.7517148162643,10.6418882985163,6.21601725537945,15.0929328554651,4.01522050251061,17.1782126017394,9.42026516382342,4.00098718497377,16.2251535499138,1.83725455454414,18.9570739015453,19.3281794747944,13.0621022419086,28.5011853282714,9.48645182419567,32.1260276093878,7.33253410819711,3.69931151433608,10.9269510619923,1.97754368054227,12.6965339013327,3.93753760235641,1.14212378711736,6.9926055659952,-0.558094276643572,8.52938622746899,27.2745349087399,20.9746680789833,35.3581438550921,17.1675920091703,39.1652199249051,8.67183439071793,5.24080894901801,13.0932786440129,3.16238576882933,15.1717018242016,4.94459810599573,1.26416395130952,8.42433839122884,-0.322103407102031,10.0515614847158,6.78016103230822,2.51673344714431,11.057491437498,0.797786543855905,13.0466877171523,72.9097742304967,59.1756699837147,91.102301871625,51.8841425081712,100.185123826399,10.7113114937903,4.88853433527528,32.5957554071336,2.46501747265051,39.9112153458094,70.6423732163588,57.1352767653469,85.4397605018932,48.6015052627424,92.6796043463077,2.33393547933443,0.200994871172967,3.87505371053934,-0.771469761448725,4.84751834316103,21.5260898392782,15.9646330600472,30.3734278957212,13.1841395919786,34.7556828528899,6.05710039686134,2.48048893059727,10.5767225737644,0.599282346757019,12.887193902731,26.6689582172617,18.6835569457142,34.8328015653219,14.9876764977213,37.802475921066,4.4157472852371,1.14812577207653,6.68448565710038,-0.317260172199663,8.14987160137658,21.9777379133105,14.6752484610798,28.6425554856628,11.1247422002044,32.0963473750726,8.27578640713932,4.08837632172814,13.9491564357295,2.01661890530632,16.2187359888512,10.5631828297503,5.91179467278432,15.0118482120097,3.73867346872824,16.8450529827482,4.87069227304342,1.66592867473252,9.1108246035437,-0.10052390440869,10.9123191561514,4.44778482708321,1.6838759280431,6.2132802392745,0.486092259241259,7.41129121279581
